2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Lambeth 027C,E01003133,1351,90,44,0.084745763,0.041431262
Lambeth 027D,E01003134,1184,60,27,0.056497175,0.025423729
Lambeth 027E,E01003152,1502,75,59,0.070621469,0.055555556
Lambeth 028A,E01003064,1190,96,39,0.09039548,0.036723164
Lambeth 028B,E01003066,1254,45,52,0.042372881,0.048964218
Lambeth 028C,E01003081,1363,32,64,0.030131827,0.060263653
Lambeth 028D,E01003166,1771,90,63,0.084745763,0.059322034
Lambeth 028E,E01003167,1258,78,71,0.073446328,0.066854991
Lambeth 029A,E01003116,1217,54,31,0.050847458,0.029190207
Lambeth 029B,E01003117,1558,72,55,0.06779661,0.051789077
Lambeth 029C,E01003118,1375,61,48,0.057438795,0.04519774
Lambeth 029D,E01003153,1786,76,47,0.071563089,0.044256121
Lambeth 029E,E01003155,1442,66,53,0.062146893,0.049905838
Lambeth 030A,E01003083,1127,49,43,0.04613936,0.040489642
Lambeth 030B,E01003084,1231,50,34,0.047080979,0.032015066
Lambeth 030C,E01003085,1253,40,51,0.037664783,0.048022599
Lambeth 030D,E01003149,1327,35,40,0.032956685,0.037664783
Lambeth 030E,E01003154,1388,48,56,0.04519774,0.052730697
Lambeth 031A,E01003065,1034,36,31,0.033898305,0.029190207
Lambeth 031B,E01003068,1088,48,46,0.04519774,0.043314501
Lambeth 031C,E01003082,1032,23,31,0.02165725,0.029190207
Lambeth 031D,E01003086,1108,26,33,0.024482109,0.031073446
Lambeth 031E,E01003087,1075,11,20,0.010357815,0.018832392
Lambeth 032A,E01003113,1588,61,48,0.057438795,0.04519774
Lambeth 032B,E01003114,1465,66,54,0.062146893,0.050847458
Lambeth 032C,E01003119,1516,86,46,0.080979284,0.043314501
Lambeth 032D,E01003120,1613,67,51,0.063088512,0.048022599
Lambeth 032E,E01003148,1360,71,35,0.066854991,0.032956685
Lambeth 032F,E01003150,1275,42,46,0.039548023,0.043314501
Lambeth 033A,E01003062,1340,42,40,0.039548023,0.037664783
Lambeth 033B,E01003063,1061,26,35,0.024482109,0.032956685
Lambeth 033C,E01003067,1117,73,60,0.06873823,0.056497175
Lambeth 033D,E01003069,947,35,36,0.032956685,0.033898305
Lambeth 033E,E01003070,1103,19,43,0.017890772,0.040489642
Lambeth 034A,E01003115,1255,38,37,0.035781544,0.034839925
Lambeth 034B,E01003141,1262,36,28,0.033898305,0.026365348
Lambeth 034C,E01003144,1149,48,28,0.04519774,0.026365348
Lambeth 034D,E01003145,1357,49,40,0.04613936,0.037664783
Lambeth 034E,E01003147,1534,62,40,0.058380414,0.037664783
Lambeth 035A,E01003139,1138,26,32,0.024482109,0.030131827
Lambeth 035B,E01003140,1078,13,38,0.012241055,0.035781544
Lambeth 035C,E01003142,961,7,28,0.006591337,0.026365348
Lambeth 035D,E01003143,1018,18,35,0.016949153,0.032956685
Lambeth 035E,E01003146,1118,27,33,0.025423729,0.031073446
Lambeth 036A,E01003013,1478,55,419,0.051789077,0.394538606
Lambeth 036B,E01003014,1281,53,231,0.049905838,0.217514124
Lambeth 036C,E01003016,1251,21,153,0.019774011,0.144067797
Lambeth 036D,E01003017,1389,64,256,0.060263653,0.241054614
Lambeth 036E,E01032582,1587,84,299,0.079096045,0.281544256
Lewisham 001A,E01003244,1075,19,49,0.017890772,0.04613936
Lewisham 001B,E01003245,1044,20,46,0.018832392,0.043314501
Lewisham 001C,E01003247,1476,69,55,0.064971751,0.051789077
Lewisham 001D,E01003249,1551,47,47,0.044256121,0.044256121
Lewisham 001E,E01003250,1378,36,44,0.033898305,0.041431262
Lewisham 002A,E01003246,1088,28,44,0.026365348,0.041431262
Lewisham 002B,E01003248,1179,38,50,0.035781544,0.047080979
Lewisham 002C,E01003251,1389,24,60,0.02259887,0.056497175
Lewisham 002D,E01003252,1038,6,58,0.005649718,0.054613936
Lewisham 002E,E01003253,1109,38,76,0.035781544,0.071563089
Lewisham 003A,E01003297,1170,39,45,0.036723164,0.042372881
Lewisham 003B,E01003299,1238,48,46,0.04519774,0.043314501
Lewisham 003C,E01003301,1767,77,57,0.072504708,0.053672316
Lewisham 003D,E01003302,1151,32,42,0.030131827,0.039548023
Lewisham 003E,E01003305,989,36,53,0.033898305,0.049905838
Lewisham 005A,E01003207,1069,13,90,0.012241055,0.084745763
Lewisham 005B,E01003209,1606,32,102,0.030131827,0.096045198
Lewisham 005C,E01003210,1460,94,75,0.088512241,0.070621469
Lewisham 005D,E01003212,1619,65,82,0.061205273,0.077212806
Lewisham 005E,E01003215,1662,46,81,0.043314501,0.076271186
Lewisham 006A,E01003338,1328,23,45,0.02165725,0.042372881
Lewisham 006B,E01003339,1370,58,56,0.054613936,0.052730697
Lewisham 006C,E01003340,1619,86,76,0.080979284,0.071563089
Lewisham 006D,E01003341,1177,77,61,0.072504708,0.057438795
Lewisham 006E,E01003343,1060,66,53,0.062146893,0.049905838
Lewisham 007A,E01003199,1358,37,57,0.034839925,0.053672316
Lewisham 007B,E01003201,1224,30,55,0.028248588,0.051789077
Lewisham 007C,E01003204,1055,42,49,0.039548023,0.04613936
Lewisham 007D,E01003205,937,12,49,0.011299435,0.04613936
Lewisham 007E,E01003206,1209,39,45,0.036723164,0.042372881
Lewisham 008B,E01003211,1292,71,68,0.066854991,0.064030132
Lewisham 008C,E01003213,1604,81,50,0.076271186,0.047080979
Lewisham 008D,E01003214,1376,57,63,0.053672316,0.059322034
Lewisham 008E,E01033324,1242,47,70,0.044256121,0.065913371
Lewisham 008F,E01033325,1134,29,25,0.027306968,0.02354049
Lewisham 009A,E01003198,1051,30,42,0.028248588,0.039548023
Lewisham 009B,E01003200,1251,42,49,0.039548023,0.04613936
Lewisham 009C,E01003202,1194,30,36,0.028248588,0.033898305
Lewisham 009D,E01003203,1424,35,62,0.032956685,0.058380414
Lewisham 010A,E01003336,964,18,40,0.016949153,0.037664783
Lewisham 010B,E01003337,1081,8,42,0.007532957,0.039548023
Lewisham 010C,E01003342,1307,80,53,0.075329567,0.049905838
Lewisham 010D,E01003344,1404,75,49,0.070621469,0.04613936
Lewisham 010E,E01003345,1426,72,65,0.06779661,0.061205273
Lewisham 011A,E01003273,1634,45,62,0.042372881,0.058380414
Lewisham 011B,E01003277,1376,49,80,0.04613936,0.075329567
Lewisham 011C,E01003278,1526,60,63,0.056497175,0.059322034
Lewisham 011D,E01003279,1257,73,61,0.06873823,0.057438795
Lewisham 012A,E01003288,1331,20,89,0.018832392,0.083804143
Lewisham 012C,E01003290,1386,38,53,0.035781544,0.049905838
Lewisham 012D,E01003291,1069,25,48,0.02354049,0.04519774
Lewisham 012E,E01003296,1649,34,70,0.032015066,0.065913371
Lewisham 012F,E01033327,1240,45,44,0.042372881,0.041431262
Lewisham 012G,E01033341,964,27,61,0.025423729,0.057438795
Lewisham 013A,E01003282,1981,54,131,0.050847458,0.123352166
Lewisham 013B,E01003283,1561,77,79,0.072504708,0.074387947
Lewisham 013C,E01003284,1350,23,57,0.02165725,0.053672316
Lewisham 013D,E01003286,1134,22,49,0.020715631,0.04613936
Lewisham 014A,E01003272,1592,66,70,0.062146893,0.065913371
Lewisham 014B,E01003274,1333,57,74,0.053672316,0.069679849
Lewisham 014C,E01003275,1196,27,54,0.025423729,0.050847458
Lewisham 014D,E01003276,1375,59,81,0.055555556,0.076271186
Lewisham 015A,E01003225,1162,52,52,0.048964218,0.048964218
Lewisham 015B,E01003231,1234,35,56,0.032956685,0.052730697
Lewisham 015C,E01003232,1283,61,48,0.057438795,0.04519774
Lewisham 015D,E01003233,1297,59,54,0.055555556,0.050847458
Lewisham 016A,E01003280,1150,16,44,0.015065913,0.041431262
Lewisham 016B,E01003281,1115,27,48,0.025423729,0.04519774
Lewisham 016C,E01003285,1249,32,67,0.030131827,0.063088512
Lewisham 016D,E01003287,1459,47,78,0.044256121,0.073446328
Lewisham 017A,E01003292,1245,34,62,0.032015066,0.058380414
Lewisham 017B,E01003293,1167,30,73,0.028248588,0.06873823
Lewisham 017D,E01003295,1280,15,70,0.014124294,0.065913371
Lewisham 017E,E01033320,1167,24,53,0.02259887,0.049905838
Lewisham 017F,E01033322,1050,18,44,0.016949153,0.041431262
Lewisham 018A,E01003319,1285,14,61,0.013182674,0.057438795
Lewisham 018B,E01003320,1088,20,58,0.018832392,0.054613936
Lewisham 018C,E01003323,1131,30,60,0.028248588,0.056497175
Lewisham 018D,E01003325,1225,24,73,0.02259887,0.06873823
Lewisham 019A,E01003226,1365,58,57,0.054613936,0.053672316
Lewisham 019B,E01003227,1277,51,41,0.048022599,0.038606403
Lewisham 019C,E01003228,1168,61,32,0.057438795,0.030131827
Lewisham 019D,E01003229,1156,31,55,0.029190207,0.051789077
Lewisham 019E,E01003230,1458,55,45,0.051789077,0.042372881
Lewisham 020A,E01003317,1348,34,49,0.032015066,0.04613936
Lewisham 020B,E01003318,1263,10,60,0.009416196,0.056497175
Lewisham 020C,E01003321,1455,32,63,0.030131827,0.059322034
Lewisham 020D,E01003322,1078,20,48,0.018832392,0.04519774
Lewisham 020E,E01003324,1096,18,67,0.016949153,0.063088512
Lewisham 021A,E01003254,1090,52,33,0.048964218,0.031073446
Lewisham 021B,E01003255,1569,45,69,0.042372881,0.064971751
Lewisham 021C,E01003260,1246,59,49,0.055555556,0.04613936
Lewisham 021D,E01003261,1115,36,36,0.033898305,0.033898305
Lewisham 021E,E01003262,1005,43,45,0.040489642,0.042372881
Lewisham 022A,E01003217,1169,20,65,0.018832392,0.061205273
Lewisham 022B,E01003218,1092,15,63,0.014124294,0.059322034
Lewisham 022C,E01003220,1159,24,40,0.02259887,0.037664783
Lewisham 022D,E01003222,1181,19,44,0.017890772,0.041431262
Lewisham 022E,E01003224,1249,21,68,0.019774011,0.064030132
Lewisham 023A,E01003263,1138,11,42,0.010357815,0.039548023
Lewisham 023B,E01003268,1271,38,39,0.035781544,0.036723164
Lewisham 023C,E01003269,1168,19,46,0.017890772,0.043314501
Lewisham 023D,E01003270,1264,19,52,0.017890772,0.048964218
Lewisham 023E,E01003271,1265,26,46,0.024482109,0.043314501
Lewisham 024A,E01003307,1125,40,50,0.037664783,0.047080979
Lewisham 024B,E01003308,1359,55,44,0.051789077,0.041431262
Lewisham 024C,E01003314,1224,43,45,0.040489642,0.042372881
Lewisham 024D,E01003315,1004,31,47,0.029190207,0.044256121
Lewisham 024E,E01003316,1109,37,51,0.034839925,0.048022599
Lewisham 025A,E01003216,1390,24,75,0.02259887,0.070621469
Lewisham 025B,E01003219,1216,32,66,0.030131827,0.062146893
Lewisham 025C,E01003221,1428,29,62,0.027306968,0.058380414
Lewisham 025D,E01003223,1249,11,54,0.010357815,0.050847458
Lewisham 026A,E01003346,1061,8,34,0.007532957,0.032015066
Lewisham 026B,E01003349,921,9,34,0.008474576,0.032015066
Lewisham 026C,E01003351,945,6,34,0.005649718,0.032015066
Lewisham 026D,E01003354,1202,15,55,0.014124294,0.051789077
Lewisham 027A,E01003309,1059,16,37,0.015065913,0.034839925
Lewisham 027B,E01003310,1230,34,53,0.032015066,0.049905838
Lewisham 027C,E01003311,1150,29,51,0.027306968,0.048022599
Lewisham 027D,E01003312,1344,33,30,0.031073446,0.028248588
Lewisham 027E,E01003313,1068,17,40,0.016007533,0.037664783
Lewisham 028A,E01003256,1555,35,43,0.032956685,0.040489642
Lewisham 028B,E01003257,1152,42,35,0.039548023,0.032956685
Lewisham 028C,E01003258,1001,8,34,0.007532957,0.032015066
Lewisham 028D,E01003259,1257,36,65,0.033898305,0.061205273
Lewisham 029A,E01003193,1138,14,50,0.013182674,0.047080979
Lewisham 029B,E01003194,1218,18,66,0.016949153,0.062146893
Lewisham 029C,E01003195,1099,23,40,0.02165725,0.037664783
Lewisham 029D,E01003196,1130,14,55,0.013182674,0.051789077
Lewisham 029E,E01003197,1156,10,61,0.009416196,0.057438795
Lewisham 030A,E01003347,1112,13,42,0.012241055,0.039548023
Lewisham 030B,E01003348,1027,8,34,0.007532957,0.032015066
Lewisham 030C,E01003350,942,9,38,0.008474576,0.035781544
Lewisham 030D,E01003352,1249,13,48,0.012241055,0.04519774
Lewisham 030E,E01003353,1245,19,50,0.017890772,0.047080979
Lewisham 031A,E01003264,1140,13,37,0.012241055,0.034839925
Lewisham 031B,E01003265,1118,13,25,0.012241055,0.02354049
Lewisham 031C,E01003266,1214,4,37,0.003766478,0.034839925
Lewisham 031D,E01003267,1092,11,23,0.010357815,0.02165725
Lewisham 033A,E01003329,1201,22,41,0.020715631,0.038606403
Lewisham 033B,E01003330,1021,23,32,0.02165725,0.030131827
Lewisham 033C,E01003331,997,20,32,0.018832392,0.030131827
Lewisham 033D,E01003332,1115,23,31,0.02165725,0.029190207
Lewisham 033E,E01003334,1254,20,44,0.018832392,0.041431262
Lewisham 034A,E01003189,1101,13,60,0.012241055,0.056497175
Lewisham 034B,E01003190,1284,10,83,0.009416196,0.078154426
Lewisham 034C,E01003191,1044,12,40,0.011299435,0.037664783
Lewisham 034D,E01003192,1164,7,47,0.006591337,0.044256121
Lewisham 035A,E01003326,1055,13,44,0.012241055,0.041431262
Lewisham 035B,E01003327,1408,28,55,0.026365348,0.051789077
Lewisham 035C,E01003328,1311,27,37,0.025423729,0.034839925
Lewisham 035D,E01003333,1173,25,53,0.02354049,0.049905838
Lewisham 035E,E01003335,1012,8,51,0.007532957,0.048022599
Lewisham 037A,E01003236,1061,11,35,0.010357815,0.032956685
Lewisham 037B,E01003237,1002,14,48,0.013182674,0.04519774
Lewisham 037C,E01003238,959,10,48,0.009416196,0.04519774
Lewisham 037D,E01003239,964,6,40,0.005649718,0.037664783
Lewisham 037E,E01032564,866,9,40,0.008474576,0.037664783
Lewisham 038A,E01003235,930,10,27,0.009416196,0.025423729
Lewisham 038B,E01003240,1230,16,47,0.015065913,0.044256121
Lewisham 038C,E01003241,1116,12,24,0.011299435,0.02259887
Lewisham 038D,E01003243,936,7,28,0.006591337,0.026365348
Lewisham 038E,E01032565,926,7,38,0.006591337,0.035781544
Lewisham 039A,E01003298,950,19,51,0.017890772,0.048022599
Lewisham 039B,E01003300,1012,15,49,0.014124294,0.04613936
Lewisham 039C,E01003303,1227,28,49,0.026365348,0.04613936
Lewisham 039D,E01003304,1534,38,98,0.035781544,0.092278719
Lewisham 039E,E01032579,1142,42,76,0.039548023,0.071563089
Newham 001A,E01003543,1868,33,66,0.031073446,0.062146893
Newham 001B,E01003544,1457,21,56,0.019774011,0.052730697
Newham 001C,E01003546,1365,14,71,0.013182674,0.066854991
Newham 001D,E01003550,1316,22,41,0.020715631,0.038606403
Newham 002A,E01003576,1309,4,36,0.003766478,0.033898305
Newham 002B,E01003581,1352,8,40,0.007532957,0.037664783
Newham 002C,E01003582,1132,8,43,0.007532957,0.040489642
Newham 002D,E01003583,1352,7,63,0.006591337,0.059322034
Newham 003A,E01003578,1395,11,49,0.010357815,0.04613936
Newham 003B,E01003584,1533,28,41,0.026365348,0.038606403
Newham 003C,E01003586,1374,15,41,0.014124294,0.038606403
Newham 003D,E01003590,1068,7,29,0.006591337,0.027306968
Newham 004A,E01003579,1327,4,68,0.003766478,0.064030132
Newham 004B,E01003585,1187,9,44,0.008474576,0.041431262
Newham 004C,E01003587,1800,13,48,0.012241055,0.04519774
Newham 004D,E01003591,1580,7,48,0.006591337,0.04519774
Newham 005A,E01003528,933,11,42,0.010357815,0.039548023
Newham 005B,E01003575,1177,11,55,0.010357815,0.051789077
Newham 005C,E01003577,1236,5,32,0.004708098,0.030131827
Newham 005D,E01003580,1226,6,46,0.005649718,0.043314501
Newham 006A,E01003545,1275,18,58,0.016949153,0.054613936
Newham 006B,E01003548,1837,30,90,0.028248588,0.084745763
Newham 006C,E01003549,1684,24,54,0.02259887,0.050847458
Newham 006D,E01003557,1583,15,65,0.014124294,0.061205273
Newham 007A,E01003547,1484,56,73,0.052730697,0.06873823
Newham 007B,E01003555,1419,24,48,0.02259887,0.04519774
Newham 007C,E01003561,1434,13,83,0.012241055,0.078154426
Newham 007D,E01003567,1374,7,70,0.006591337,0.065913371
Newham 008A,E01003556,1502,15,57,0.014124294,0.053672316
Newham 008B,E01003558,1191,17,50,0.016007533,0.047080979
Newham 008C,E01003570,1571,6,83,0.005649718,0.078154426
Newham 008D,E01003571,1706,11,92,0.010357815,0.086629002
Newham 008E,E01003572,1299,7,82,0.006591337,0.077212806
Newham 009A,E01003551,1382,19,45,0.017890772,0.042372881
Newham 009B,E01003553,1472,21,69,0.019774011,0.064971751
Newham 009C,E01003554,1538,24,61,0.02259887,0.057438795
Newham 009D,E01003559,2124,32,75,0.030131827,0.070621469
Newham 010A,E01003529,1850,5,118,0.004708098,0.111111111
Newham 010B,E01003530,1385,5,89,0.004708098,0.083804143
Newham 010C,E01003531,1526,3,93,0.002824859,0.087570621
Newham 010D,E01003532,1534,7,89,0.006591337,0.083804143
Newham 010E,E01003534,1726,7,72,0.006591337,0.06779661
Newham 011A,E01003533,1374,9,80,0.008474576,0.075329567
Newham 011B,E01003560,1348,6,61,0.005649718,0.057438795
Newham 011C,E01003563,1507,4,67,0.003766478,0.063088512
Newham 011D,E01003588,1313,3,60,0.002824859,0.056497175
Newham 011E,E01003589,1360,12,70,0.011299435,0.065913371
Newham 012A,E01003616,1368,13,68,0.012241055,0.064030132
Newham 012B,E01003617,2242,33,103,0.031073446,0.096986817
Newham 012C,E01003618,1828,32,84,0.030131827,0.079096045
Newham 012D,E01003619,1885,34,55,0.032015066,0.051789077
Newham 013C,E01003615,1432,14,59,0.013182674,0.055555556
Newham 013E,E01033578,1079,19,39,0.017890772,0.036723164
Newham 013F,E01033579,1140,27,30,0.025423729,0.028248588
Newham 013G,E01033583,2510,35,90,0.032956685,0.084745763
Newham 013H,E01033586,1103,30,35,0.028248588,0.032956685
Newham 014A,E01003562,1732,10,121,0.009416196,0.11393597
Newham 014B,E01003564,1847,9,86,0.008474576,0.080979284
Newham 014C,E01003565,1400,9,69,0.008474576,0.064971751
Newham 014D,E01003566,1325,8,96,0.007532957,0.09039548
Newham 015A,E01003625,1239,5,52,0.004708098,0.048964218
Newham 015B,E01003626,1204,5,64,0.004708098,0.060263653
Newham 015C,E01003627,1232,8,45,0.007532957,0.042372881
Newham 015D,E01003628,1230,7,35,0.006591337,0.032956685
Newham 015E,E01003629,1191,6,58,0.005649718,0.054613936
Newham 016A,E01003552,1272,11,55,0.010357815,0.051789077
Newham 016B,E01003596,1291,19,48,0.017890772,0.04519774
Newham 016C,E01003597,1221,8,69,0.007532957,0.064971751
Newham 016D,E01003635,1578,20,72,0.018832392,0.06779661
Newham 017A,E01003568,1762,7,87,0.006591337,0.081920904
Newham 017B,E01003569,1520,5,82,0.004708098,0.077212806
Newham 017C,E01003573,1619,9,81,0.008474576,0.076271186
Newham 017D,E01003574,2017,13,107,0.012241055,0.100753296
Newham 018A,E01003520,1530,6,71,0.005649718,0.066854991
Newham 018B,E01003521,1804,8,83,0.007532957,0.078154426
Newham 018C,E01003522,1369,7,59,0.006591337,0.055555556
Newham 018D,E01003525,1485,8,79,0.007532957,0.074387947
Newham 018E,E01003526,1391,8,85,0.007532957,0.080037665
Newham 019A,E01003488,1325,11,77,0.010357815,0.072504708
Newham 019B,E01003489,1239,8,42,0.007532957,0.039548023
Newham 019C,E01003490,1330,6,67,0.005649718,0.063088512
Newham 019D,E01003524,1520,4,68,0.003766478,0.064030132
Newham 020A,E01003631,1431,23,42,0.02165725,0.039548023
Newham 020B,E01003632,1718,24,42,0.02259887,0.039548023
Newham 020C,E01003633,1327,13,28,0.012241055,0.026365348
Newham 020D,E01003634,1353,19,40,0.017890772,0.037664783
Newham 020E,E01003636,1426,10,58,0.009416196,0.054613936
Newham 021A,E01003598,1334,18,37,0.016949153,0.034839925
Newham 021B,E01003600,1336,9,40,0.008474576,0.037664783
Newham 021C,E01003630,1493,14,49,0.013182674,0.04613936
Newham 021D,E01003637,1418,24,51,0.02259887,0.048022599
Newham 022A,E01003491,1538,5,63,0.004708098,0.059322034
Newham 022B,E01003592,1364,15,35,0.014124294,0.032956685
Newham 022C,E01003599,1173,10,52,0.009416196,0.048964218
Newham 022D,E01003606,1547,12,63,0.011299435,0.059322034
Newham 023A,E01003535,1168,4,53,0.003766478,0.049905838
Newham 023B,E01003536,1275,8,60,0.007532957,0.056497175
Newham 023C,E01003621,1177,9,54,0.008474576,0.050847458
Newham 023D,E01003622,1120,4,49,0.003766478,0.04613936
Newham 023E,E01003623,1182,7,48,0.006591337,0.04519774
Newham 024A,E01003523,1465,13,63,0.012241055,0.059322034
Newham 024B,E01003527,1239,28,57,0.026365348,0.053672316
Newham 024C,E01003537,1472,15,71,0.014124294,0.066854991
Newham 024D,E01003542,1292,11,73,0.010357815,0.06873823
Newham 024E,E01003624,1110,4,55,0.003766478,0.051789077
Newham 025A,E01003492,1433,9,57,0.008474576,0.053672316
Newham 025B,E01003493,1708,9,86,0.008474576,0.080979284
Newham 025C,E01003494,1419,17,66,0.016007533,0.062146893
Newham 025D,E01003495,1513,19,82,0.017890772,0.077212806
Newham 026A,E01003594,1300,14,31,0.013182674,0.029190207
Newham 026B,E01003595,1138,9,42,0.008474576,0.039548023
Newham 026C,E01003602,1503,17,64,0.016007533,0.060263653
Newham 026D,E01003607,1216,17,55,0.016007533,0.051789077
Newham 027A,E01003496,1146,7,30,0.006591337,0.028248588
Newham 027B,E01003498,1287,11,46,0.010357815,0.043314501
Newham 027C,E01003500,1492,10,58,0.009416196,0.054613936
Newham 027D,E01003593,1152,10,30,0.009416196,0.028248588
Newham 028A,E01003601,1503,10,80,0.009416196,0.075329567
Newham 028B,E01003603,1386,17,74,0.016007533,0.069679849
Newham 028C,E01003605,1516,15,56,0.014124294,0.052730697
Newham 028D,E01003608,1499,21,59,0.019774011,0.055555556
Newham 029A,E01003538,1404,19,49,0.017890772,0.04613936
Newham 029B,E01003539,1512,14,72,0.013182674,0.06779661
Newham 029C,E01003540,1254,18,46,0.016949153,0.043314501
Newham 029D,E01003541,1259,3,52,0.002824859,0.048964218
Newham 030A,E01003499,1547,11,55,0.010357815,0.051789077
Newham 030B,E01003501,1512,12,64,0.011299435,0.060263653
Newham 030C,E01003502,1400,7,54,0.006591337,0.050847458
Newham 030D,E01003503,1241,7,41,0.006591337,0.038606403
Newham 031A,E01003507,1542,25,50,0.02354049,0.047080979
Newham 031B,E01003508,1130,19,47,0.017890772,0.044256121
Newham 031C,E01003509,1443,23,56,0.02165725,0.052730697
Newham 031D,E01003604,1647,20,92,0.018832392,0.086629002
Newham 032A,E01003483,1103,11,43,0.010357815,0.040489642
Newham 032B,E01003484,1221,30,50,0.028248588,0.047080979
Newham 032C,E01003516,1327,13,42,0.012241055,0.039548023
Newham 032D,E01003518,1209,19,38,0.017890772,0.035781544
Newham 032E,E01003519,1204,10,36,0.009416196,0.033898305
Newham 033A,E01003480,1762,12,55,0.011299435,0.051789077
Newham 033B,E01003482,2038,24,57,0.02259887,0.053672316
Newham 033C,E01003486,877,5,26,0.004708098,0.024482109
Newham 033D,E01003487,988,6,42,0.005649718,0.039548023
Newham 034A,E01003497,1275,21,56,0.019774011,0.052730697
Newham 034D,E01003506,1073,6,38,0.005649718,0.035781544
Newham 034F,E01033574,1013,19,16,0.017890772,0.015065913
Newham 034G,E01033575,965,15,14,0.014124294,0.013182674
Newham 034H,E01033576,1098,12,24,0.011299435,0.02259887
Newham 034I,E01033584,1109,12,35,0.011299435,0.032956685
Newham 034J,E01033585,1868,15,68,0.014124294,0.064030132
Newham 035A,E01003479,1118,10,51,0.009416196,0.048022599
Newham 035B,E01003481,1218,10,39,0.009416196,0.036723164
Newham 035C,E01003485,1148,19,33,0.017890772,0.031073446
Newham 035D,E01003513,1171,15,34,0.014124294,0.032015066
Newham 036A,E01003511,893,7,42,0.006591337,0.039548023
Newham 036B,E01003512,1329,14,47,0.013182674,0.044256121
Newham 036C,E01003514,1086,13,53,0.012241055,0.049905838
Newham 036D,E01003515,1271,11,54,0.010357815,0.050847458
Newham 036E,E01003517,1231,8,42,0.007532957,0.039548023
Newham 037A,E01003609,2021,21,63,0.019774011,0.059322034
Newham 037C,E01003611,1215,12,20,0.011299435,0.018832392
Newham 037E,E01033577,1193,15,35,0.014124294,0.032956685
Newham 037F,E01033580,1346,33,32,0.031073446,0.030131827
Newham 037G,E01033581,1322,13,35,0.012241055,0.032956685
Newham 037H,E01033582,1161,13,18,0.012241055,0.016949153
Southwark 001A,E01004029,1587,77,74,0.072504708,0.069679849
Southwark 001B,E01004032,1510,65,54,0.061205273,0.050847458
Southwark 001C,E01004053,1614,73,75,0.06873823,0.070621469
Southwark 001D,E01004054,1460,87,58,0.081920904,0.054613936
Southwark 001E,E01004055,978,26,55,0.024482109,0.051789077
Southwark 002A,E01003927,2084,124,448,0.116760829,0.421845574
Southwark 002B,E01003929,1883,82,487,0.077212806,0.458568738
Southwark 002C,E01003934,1165,56,274,0.052730697,0.258003766
Southwark 002D,E01003935,1168,45,209,0.042372881,0.196798493
Southwark 002E,E01003939,1593,69,379,0.064971751,0.356873823
Southwark 003A,E01003976,1576,70,277,0.065913371,0.260828625
Southwark 003E,E01004027,1765,72,322,0.06779661,0.303201507
Southwark 003F,E01032637,1187,43,325,0.040489642,0.306026365
Southwark 003G,E01032638,1093,59,323,0.055555556,0.304143126
Southwark 003H,E01032640,1172,37,357,0.034839925,0.336158192
Southwark 003I,E01032646,1408,100,337,0.094161959,0.3173258
Southwark 003J,E01032803,1207,82,324,0.077212806,0.305084746
Southwark 003K,E01032834,1064,39,352,0.036723164,0.331450094
Southwark 004A,E01003975,1175,43,140,0.040489642,0.131826742
Southwark 004B,E01003978,1509,84,222,0.079096045,0.209039548
Southwark 004C,E01004022,2005,91,223,0.085687382,0.209981168
Southwark 004D,E01004023,1172,47,113,0.044256121,0.106403013
Southwark 004E,E01004028,1287,47,190,0.044256121,0.178907721
Southwark 006A,E01003938,1446,58,228,0.054613936,0.214689266
Southwark 006B,E01003940,1107,47,124,0.044256121,0.116760829
Southwark 006C,E01003941,1645,126,306,0.118644068,0.288135593
Southwark 006D,E01003942,1275,46,127,0.043314501,0.119585687
Southwark 006E,E01003979,1442,73,205,0.06873823,0.193032015
Southwark 006F,E01003981,1455,53,256,0.049905838,0.241054614
Southwark 007A,E01004030,1237,59,84,0.055555556,0.079096045
Southwark 007B,E01004031,1618,41,83,0.038606403,0.078154426
Southwark 007C,E01004033,1156,30,65,0.028248588,0.061205273
Southwark 007D,E01004034,1115,37,81,0.034839925,0.076271186
Southwark 007E,E01004036,1427,38,73,0.035781544,0.06873823
Southwark 008A,E01004056,1752,82,82,0.077212806,0.077212806
Southwark 008B,E01004057,1253,68,62,0.064030132,0.058380414
Southwark 008C,E01004058,1570,98,55,0.092278719,0.051789077
Southwark 008D,E01004059,1403,64,43,0.060263653,0.040489642
Southwark 008E,E01004060,1434,48,62,0.04519774,0.058380414
Southwark 009A,E01003936,1731,75,349,0.070621469,0.328625235
Southwark 009B,E01003937,1382,84,239,0.079096045,0.225047081
Southwark 009C,E01003943,1017,24,112,0.02259887,0.105461394
Southwark 009F,E01032720,1390,39,152,0.036723164,0.143126177
Southwark 010A,E01003977,1321,39,126,0.036723164,0.118644068
Southwark 010B,E01004037,1528,56,101,0.052730697,0.095103578
Southwark 010C,E01004038,1746,79,124,0.074387947,0.116760829
Southwark 010D,E01004042,1314,32,116,0.030131827,0.109227872
Southwark 010E,E01004043,1092,67,103,0.063088512,0.096986817
Southwark 011A,E01003986,883,21,61,0.019774011,0.057438795
Southwark 011B,E01003987,1296,36,87,0.033898305,0.081920904
Southwark 011C,E01004024,1418,48,93,0.04519774,0.087570621
Southwark 011D,E01004035,1172,48,63,0.04519774,0.059322034
