2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Camden 021D,E01000948,1380,93,196,0.087570621,0.184557439
Camden 022A,E01000952,1318,35,155,0.032956685,0.145951036
Camden 022B,E01000953,1256,33,162,0.031073446,0.152542373
Camden 022C,E01000954,1097,15,129,0.014124294,0.121468927
Camden 022D,E01000955,1141,30,164,0.028248588,0.154425612
Camden 022E,E01000956,1150,24,160,0.02259887,0.150659134
Camden 023A,E01000944,1552,20,138,0.018832392,0.129943503
Camden 023B,E01000945,1509,33,189,0.031073446,0.177966102
Camden 023C,E01000949,1201,49,202,0.04613936,0.190207156
Camden 023D,E01000950,1041,24,112,0.02259887,0.105461394
Camden 023E,E01000951,1106,28,142,0.026365348,0.133709981
Camden 024A,E01000936,1469,57,203,0.053672316,0.191148776
Camden 024B,E01000938,1354,69,221,0.064971751,0.208097928
Camden 024C,E01000939,897,13,115,0.012241055,0.108286252
Camden 024D,E01000940,875,31,145,0.029190207,0.13653484
Camden 025A,E01000853,1231,44,229,0.041431262,0.215630885
Camden 025B,E01000937,1322,30,201,0.028248588,0.189265537
Camden 025C,E01000941,933,23,132,0.02165725,0.124293785
Camden 025D,E01000942,1957,49,225,0.04613936,0.211864407
Camden 025E,E01000943,923,35,189,0.032956685,0.177966102
Camden 026A,E01000850,1548,58,403,0.054613936,0.379472693
Camden 026B,E01000851,2206,58,413,0.054613936,0.388888889
Camden 026C,E01000852,1475,21,170,0.019774011,0.16007533
Camden 026D,E01000854,1559,23,229,0.02165725,0.215630885
Camden 027A,E01000915,1158,44,270,0.041431262,0.254237288
Camden 027B,E01000916,1492,63,423,0.059322034,0.398305085
Camden 027C,E01000917,1415,38,246,0.035781544,0.231638418
Camden 027D,E01000920,1619,75,444,0.070621469,0.418079096
Camden 028A,E01000855,1623,39,512,0.036723164,0.482109228
Camden 028B,E01000914,1524,47,383,0.044256121,0.360640301
Camden 028C,E01000918,1800,45,359,0.042372881,0.338041431
Camden 028D,E01000919,1797,25,416,0.02354049,0.391713748
City of London 001A,E01000001,1221,47,445,0.044256121,0.419020716
City of London 001B,E01000002,1196,57,428,0.053672316,0.403013183
City of London 001C,E01000003,1102,70,325,0.065913371,0.306026365
City of London 001E,E01000005,773,34,159,0.032015066,0.149717514
City of London 001F,E01032739,971,16,453,0.015065913,0.426553672
City of London 001G,E01032740,1044,28,487,0.026365348,0.458568738
Hackney 001A,E01001808,1129,34,200,0.032015066,0.188323917
Hackney 001B,E01001809,1205,44,159,0.041431262,0.149717514
Hackney 001C,E01001814,1113,53,118,0.049905838,0.111111111
Hackney 001D,E01001823,1087,30,130,0.028248588,0.122410546
Hackney 001E,E01001825,895,17,158,0.016007533,0.148775895
Hackney 002A,E01001714,1149,42,33,0.039548023,0.031073446
Hackney 002D,E01001811,1080,29,35,0.027306968,0.032956685
Hackney 002E,E01001813,943,15,33,0.014124294,0.031073446
Hackney 002F,E01033701,1428,33,40,0.031073446,0.037664783
Hackney 003A,E01001799,962,57,119,0.053672316,0.112052731
Hackney 003B,E01001802,855,59,82,0.055555556,0.077212806
Hackney 003C,E01001804,953,51,111,0.048022599,0.104519774
Hackney 003D,E01001807,1275,67,102,0.063088512,0.096045198
Hackney 003E,E01001812,1138,63,140,0.059322034,0.131826742
Hackney 004A,E01001725,1174,57,118,0.053672316,0.111111111
Hackney 004B,E01001726,926,32,63,0.030131827,0.059322034
Hackney 004C,E01001800,1033,30,142,0.028248588,0.133709981
Hackney 004D,E01001824,932,36,82,0.033898305,0.077212806
Hackney 004E,E01001826,1082,39,132,0.036723164,0.124293785
Hackney 006A,E01001723,1473,154,104,0.145009416,0.097928437
Hackney 006B,E01001724,1817,216,106,0.203389831,0.099811676
Hackney 006C,E01001727,1242,116,123,0.109227872,0.115819209
Hackney 006D,E01001768,1493,185,74,0.174199623,0.069679849
Hackney 006E,E01001769,1310,158,84,0.148775895,0.079096045
Hackney 007A,E01001715,1192,99,26,0.093220339,0.024482109
Hackney 007B,E01001716,1090,50,36,0.047080979,0.033898305
Hackney 007C,E01001717,932,73,26,0.06873823,0.024482109
Hackney 007D,E01001718,1597,167,65,0.157250471,0.061205273
Hackney 007E,E01001719,873,55,53,0.051789077,0.049905838
Hackney 007F,E01001720,1526,184,55,0.173258004,0.051789077
Hackney 008A,E01001742,1416,164,83,0.154425612,0.078154426
Hackney 008B,E01001801,1006,82,84,0.077212806,0.079096045
Hackney 008C,E01001803,1340,183,75,0.172316384,0.070621469
Hackney 008D,E01001806,1209,148,57,0.139359699,0.053672316
Hackney 009A,E01001741,1149,187,60,0.176082863,0.056497175
Hackney 009B,E01001805,995,100,52,0.094161959,0.048964218
Hackney 009C,E01001829,1369,239,66,0.225047081,0.062146893
Hackney 009D,E01001831,1388,204,79,0.192090395,0.074387947
Hackney 009E,E01001832,1339,184,79,0.173258004,0.074387947
Hackney 010A,E01001764,1331,145,66,0.13653484,0.062146893
Hackney 010B,E01001765,1211,59,62,0.055555556,0.058380414
Hackney 010D,E01001767,1242,157,43,0.147834275,0.040489642
Hackney 010E,E01001770,1333,107,64,0.100753296,0.060263653
Hackney 010F,E01033703,1114,140,53,0.131826742,0.049905838
Hackney 010G,E01033713,1074,160,46,0.150659134,0.043314501
Hackney 011A,E01001792,1354,121,51,0.11393597,0.048022599
Hackney 011B,E01001793,1345,174,64,0.163841808,0.060263653
Hackney 011C,E01001794,1470,178,73,0.167608286,0.06873823
Hackney 011D,E01001795,1166,160,49,0.150659134,0.04613936
Hackney 011E,E01001796,1356,180,90,0.169491525,0.084745763
Hackney 012A,E01001736,1310,197,76,0.185499058,0.071563089
Hackney 012B,E01001737,1462,230,73,0.216572505,0.06873823
Hackney 012C,E01001738,1414,174,62,0.163841808,0.058380414
Hackney 012D,E01001739,1675,262,97,0.246704331,0.0913371
Hackney 013A,E01001786,1264,41,65,0.038606403,0.061205273
Hackney 013B,E01001787,1043,35,42,0.032956685,0.039548023
Hackney 013C,E01001788,1067,35,36,0.032956685,0.033898305
Hackney 013D,E01001790,914,18,29,0.016949153,0.027306968
Hackney 014A,E01001740,1138,67,66,0.063088512,0.062146893
Hackney 014B,E01001747,1792,234,100,0.220338983,0.094161959
Hackney 014C,E01001830,1556,152,98,0.143126177,0.092278719
Hackney 014D,E01001833,1696,191,75,0.179849341,0.070621469
Hackney 014E,E01001834,1680,215,86,0.202448211,0.080979284
Hackney 014F,E01001835,1031,149,65,0.140301318,0.061205273
Hackney 015A,E01001733,1411,193,71,0.18173258,0.066854991
Hackney 015B,E01001785,1135,171,54,0.161016949,0.050847458
Hackney 015C,E01001789,1343,167,69,0.157250471,0.064971751
Hackney 015D,E01001791,1109,102,67,0.096045198,0.063088512
Hackney 016A,E01001745,1715,177,89,0.166666667,0.083804143
Hackney 016B,E01001746,1119,46,69,0.043314501,0.064971751
Hackney 016C,E01001757,1262,38,100,0.035781544,0.094161959
Hackney 016D,E01001758,1548,142,89,0.133709981,0.083804143
Hackney 016E,E01001759,1427,188,86,0.177024482,0.080979284
Hackney 016F,E01001761,1450,160,73,0.150659134,0.06873823
Hackney 017A,E01001731,1768,205,114,0.193032015,0.107344633
Hackney 017B,E01001734,1500,172,88,0.161958569,0.082862524
Hackney 017C,E01001760,1408,122,86,0.114877589,0.080979284
Hackney 017D,E01001762,1508,252,85,0.237288136,0.080037665
Hackney 018A,E01001846,897,53,39,0.049905838,0.036723164
Hackney 018B,E01001847,858,68,37,0.064030132,0.034839925
Hackney 018C,E01001848,1212,136,63,0.128060264,0.059322034
Hackney 018D,E01001849,1799,181,61,0.170433145,0.057438795
Hackney 019A,E01001729,1474,64,78,0.060263653,0.073446328
Hackney 019B,E01001730,1338,48,73,0.04519774,0.06873823
Hackney 019C,E01001732,1214,80,76,0.075329567,0.071563089
Hackney 019D,E01001735,1229,126,87,0.118644068,0.081920904
Hackney 019E,E01001838,1179,43,55,0.040489642,0.051789077
Hackney 019F,E01001850,1194,38,65,0.035781544,0.061205273
Hackney 020A,E01001748,1968,277,108,0.260828625,0.101694915
Hackney 020B,E01001749,1411,264,98,0.248587571,0.092278719
Hackney 020C,E01001763,1312,166,88,0.156308851,0.082862524
Hackney 020D,E01001816,1250,194,71,0.1826742,0.066854991
Hackney 020E,E01001819,1260,184,103,0.173258004,0.096986817
Hackney 021B,E01001744,1467,166,77,0.156308851,0.072504708
Hackney 021C,E01001750,1504,152,110,0.143126177,0.103578154
Hackney 021D,E01001751,1318,198,134,0.186440678,0.126177024
Hackney 021E,E01001756,1856,245,155,0.230696798,0.145951036
Hackney 021F,E01033698,947,73,44,0.06873823,0.041431262
Hackney 021G,E01033699,1069,142,84,0.133709981,0.079096045
Hackney 021H,E01033700,1361,181,83,0.170433145,0.078154426
Hackney 021I,E01033707,1136,125,81,0.117702448,0.076271186
Hackney 022A,E01001836,1391,145,100,0.13653484,0.094161959
Hackney 022B,E01001840,1211,91,72,0.085687382,0.06779661
Hackney 022C,E01001841,1073,105,77,0.098870056,0.072504708
Hackney 022D,E01001844,1595,186,102,0.175141243,0.096045198
Hackney 022E,E01001845,1137,67,53,0.063088512,0.049905838
Hackney 023B,E01001837,1200,169,108,0.15913371,0.101694915
Hackney 023C,E01001839,1861,246,135,0.231638418,0.127118644
Hackney 023D,E01001842,1185,105,59,0.098870056,0.055555556
Hackney 023E,E01001843,944,94,62,0.088512241,0.058380414
Hackney 023F,E01033704,1376,247,108,0.232580038,0.101694915
Hackney 023G,E01033712,1267,178,96,0.167608286,0.09039548
Hackney 024A,E01001772,789,38,51,0.035781544,0.048022599
Hackney 024B,E01001774,1647,194,212,0.1826742,0.199623352
Hackney 024C,E01001775,1331,113,126,0.106403013,0.118644068
Hackney 024D,E01001815,1329,137,95,0.129001883,0.089453861
Hackney 024E,E01001820,1126,95,77,0.089453861,0.072504708
Hackney 024F,E01001821,1108,96,79,0.09039548,0.074387947
Hackney 025A,E01001752,1936,174,251,0.163841808,0.236346516
Hackney 025B,E01001753,1185,68,71,0.064030132,0.066854991
Hackney 025C,E01001754,1903,177,207,0.166666667,0.194915254
Hackney 025D,E01001755,1320,54,157,0.050847458,0.147834275
Hackney 025E,E01001773,1621,131,139,0.123352166,0.130885122
Hackney 025F,E01001776,1155,56,102,0.052730697,0.096045198
Hackney 026A,E01001779,1884,112,307,0.105461394,0.289077213
Hackney 026B,E01001781,1285,66,156,0.062146893,0.146892655
Hackney 026C,E01001782,1934,181,343,0.170433145,0.322975518
Hackney 026D,E01001783,1451,55,161,0.051789077,0.151600753
Hackney 027B,E01001777,1874,137,265,0.129001883,0.24952919
Hackney 027D,E01001780,1456,83,213,0.078154426,0.200564972
Hackney 027E,E01001784,1884,100,227,0.094161959,0.213747646
Hackney 027F,E01033706,1402,107,333,0.100753296,0.313559322
Hackney 027G,E01033708,1528,104,448,0.097928437,0.421845574
Hackney 027H,E01033709,1397,108,268,0.101694915,0.252354049
Hackney 027I,E01033711,1016,77,194,0.072504708,0.1826742
Hackney 028A,E01001798,1261,56,49,0.052730697,0.04613936
Hackney 028B,E01001828,1427,73,39,0.06873823,0.036723164
Hackney 028C,E01033702,839,55,31,0.051789077,0.029190207
Hackney 028D,E01033705,1012,57,49,0.053672316,0.04613936
Hackney 028E,E01033710,853,83,27,0.078154426,0.025423729
Hackney 029A,E01001722,1472,120,69,0.11299435,0.064971751
